last_name, first_name,year,xba,exit_velocity_avg,z_swing_miss_percent,oz_swing_miss_percent,fastball_avg_break,breaking_avg_break,offspeed_avg_break
Castillo, Diego,2019,0.196,87.1,20.2,58.2,19.2,6.9,16
Bradley, Archie,2019,0.246,88.2,16,39.2,18.4,9.4,14.4
Brault, Steven,2019,0.265,89,15.7,39.5,13.7,8.1,10.5
Wacha, Michael,2019,0.279,87.6,17.3,30.6,16.8,14.3,15.2
Claudio, Alex,2019,0.243,84.8,12.5,42.5,18.4,7.1,20
Gaviglio, Sam,2019,0.239,88.1,16.9,51.2,16,5.2,13.7
Parker, Blake,2019,0.271,88,19.5,44.6,15.6,14,10.1
Conley, Adam,2019,0.27,87.2,15.9,46.2,19.7,4.6,18.9
Richards, Trevor,2019,0.242,87.1,20.8,37.6,17.4,8.6,17.9
Nova, Ivan,2019,0.294,88.1,11.2,32.7,16.4,7.2,18.2
Wojciechowski, Asher,2019,0.247,87.6,17.4,43.6,17.4,11.4,18.2
Alvarez, Jose,2019,0.261,85.8,16.8,35.8,18.6,7.4,16.5
Font, Wilmer,2019,0.226,89,22.3,40.7,19,12.4,12.8
Giolito, Lucas,2019,0.215,87.8,26.3,50.7,19.8,9,16.3
Anderson, Shaun,2019,0.298,86.8,14.9,36.2,14.6,7.2,12.8
Nola, Aaron,2019,0.236,88.5,16.4,42.7,18.5,18.4,15.6
Mahle, Tyler,2019,0.256,88.7,16.9,38.3,17.5,10.6,12
Davies, Zach,2019,0.282,87.4,11.5,27.3,19.5,11.7,17.5
Wheeler, Zack,2019,0.25,86.2,17.9,35.3,18.9,9.5,15.9
Stroman, Marcus,2019,0.249,87.5,14.8,42.8,10.9,11.8,15.8
Gonzalez, Gio,2019,0.254,86.3,18.6,36,18.9,20.3,14.9
Ramirez, Noe,2019,0.218,87.3,22.1,48.8,15.7,14.2,13.4
Wainwright, Adam,2019,0.265,88.1,12.4,36,12.9,22.1,16.9
Porcello, Rick,2019,0.265,88.1,13.6,29,18.3,10.5,16.2
Sanchez, Aaron,2019,0.266,89.6,16.3,35.4,19.8,20,18.4
Carrasco, Carlos,2019,0.264,90.8,19.4,54.3,18.6,4,10.4
Stratton, Chris,2019,0.273,88.3,16.6,43,16.4,11.4,15.5
Gausman, Kevin,2019,0.26,86.9,23.2,42.1,19.1,4.8,15
Smith, Will,2019,0.207,88.9,18.7,56.3,18,10.3,19.2
Holland, Derek,2019,0.238,89.3,18.8,43.5,20.6,5,16.6
Petit, Yusmeiro,2019,0.216,86.6,20.1,36.5,17.8,12.6,18.8
Waguespack, Jacob,2019,0.271,89.1,15.8,35.3,15,6.1,15.3
Happ, J.A.,2019,0.258,88.9,16.9,38.5,18.7,7.2,17.1
Martin, Brett,2019,0.269,89.8,18.2,51,15.3,6,16
LeBlanc, Wade,2019,0.282,89.1,14.9,36.6,14.9,15.1,16
Ramirez, Nick,2019,0.245,86,19,40.8,13.9,9.9,16.1
Clevinger, Mike,2019,0.206,86.1,26.4,51.8,18.2,16.8,16.2
Berrios, Jose,2019,0.246,86.5,16.7,36.2,18,17.4,15.1
Stammen, Craig,2019,0.239,86.7,12.5,36.9,18,9.5,19.2
Anderson, Brett,2019,0.287,88.8,10.3,35,15.9,11.5,15.9
Eflin, Zach,2019,0.26,86.7,14.8,32,16.9,8.7,16.4
Iglesias, Raisel,2019,0.221,87.2,25.9,49.2,18,11.2,16.9
Hernandez, Felix,2019,0.289,91.4,12.6,42.8,16.4,11.5,10.8
Velasquez, Vince,2019,0.252,89.4,20.1,39.7,17.4,8.4,16
Fry, Paul,2019,0.241,87.2,16.2,47.8,11.7,16.2,13.9
Lyles, Jordan,2019,0.233,88.9,14.8,42.2,17.9,13.8,15.5
Jackson, Edwin,2019,0.311,90.3,15.2,45.9,13.3,4.9,20.4
Lorenzen, Michael,2019,0.225,84.5,24.2,44,16.1,8.5,18.6
James, Josh,2019,0.171,89.7,28,60,18.3,13.9,16.8
Ryu, Hyun-Jin,2019,0.253,85.3,18.1,37.5,14.1,18.5,13.9
Beeks, Jalen,2019,0.274,87.8,16,42,16.6,17.9,17.5
Shaw, Bryan,2019,0.261,90,17.3,45.8,8.1,13.4,9.2
Skaggs, Tyler,2019,0.267,88.1,16,34.8,17.6,20.2,14.8
Neris, Hector,2019,0.199,88.2,27.3,53.2,18.4,10.3,8.4
Andriese, Matt,2019,0.229,88.3,19.1,39.1,18.1,12.4,5.2
Kennedy, Ian,2019,0.225,87.6,17.8,42.4,16.9,18.4,17.6
Soria, Joakim,2019,0.219,87.3,24.1,43.1,17.9,18.4,13.2
Hendricks, Kyle,2019,0.255,85.2,17.1,32.3,16.3,19.6,17.3
Tomlin, Josh,2019,0.271,88.1,11.7,37.3,14.2,11.1,16.4
Suero, Wander,2019,0.261,88.5,25,41.8,12.4,17.5,12.6
Plutko, Adam,2019,0.27,87.9,12.6,33,19.1,10.4,15.1
Buehler, Walker,2019,0.229,88.6,19.9,43,17.1,15.1,14.5
Gray, Sonny,2019,0.212,87.1,14.8,51.4,15.3,18.5,16.3
Estevez, Carlos,2019,0.24,90.2,25.7,48.5,16.1,6.3,13.6
Farmer, Buck,2019,0.245,88.4,20.7,47.8,20.5,4,16.3
Stanek, Ryne,2019,0.225,89.2,23.3,56.3,20,4.6,11.9
Bedrosian, Cam,2019,0.229,88.7,17.3,56,18.1,6.7,19.2
Gonzalez, Chi Chi,2019,0.269,87.1,13,40.4,10,5.5,12.9
Castillo, Luis,2019,0.208,86.4,25,52.3,18.7,2.1,17.3
Walden, Marcus,2019,0.242,89.1,15.3,53.3,9.7,11,16
Castro, Miguel,2019,0.216,87.1,18.1,45.5,19.3,8.4,19.4
Baez, Pedro,2019,0.188,86.6,27.1,39.7,19,5.6,18.3
Devenski, Chris,2019,0.239,87.8,20.4,43.8,19.3,10.2,15.9
Brebbia, John,2019,0.21,87.8,23,43.4,20.1,9.1,18.4
Gallegos, Giovanny,2019,0.188,88.4,23.6,55.3,21.3,2.9,20
Rodriguez, Richard,2019,0.237,89.8,16.8,41.1,20.5,7.6,19.1
Agrazal, Dario,2019,0.28,86.6,13.4,22.3,19,2.4,17.1
Montas, Frankie,2019,0.233,86.8,18.7,40.9,20.9,7.3,14.5
Smith, Caleb,2019,0.228,87.4,22.1,41.3,22.5,5.2,19.5
Hamels, Cole,2019,0.257,89.2,20.4,43.4,15.2,12.4,16.1
Eovaldi, Nathan,2019,0.24,90.6,19.5,41.8,15.6,11.3,10.3
Senzatela, Antonio,2019,0.296,89.1,11.3,35.6,12.3,6.7,12.7
Means, John,2019,0.24,87.1,18.8,29.9,20.8,7.5,22.2
Syndergaard, Noah,2019,0.234,86.3,19.9,44.1,16.6,7.7,17.8
Pomeranz, Drew,2019,0.234,88.7,21.9,39,19.9,15.7,18.6
Quantrill, Cal,2019,0.264,86.9,17.7,30.4,18.8,4.4,14.1
Duffy, Danny,2019,0.266,88.9,16.9,44.6,18.7,8.4,18.6
Kingham, Nick,2019,0.285,86.6,13.8,31.2,13.7,13.9,17
Junis, Jakob,2019,0.274,90,12.6,43.7,15.6,15.3,7.5
Chavez, Jesse,2019,0.277,87.7,12.5,32.7,16.6,8.8,18.8
Matz, Steven,2019,0.256,88,17.3,37.4,19.2,10.8,17.1
Kershaw, Clayton,2019,0.241,87.2,16.7,49.7,19.3,11.8,21.5
Sampson, Adrian,2019,0.3,90.5,12,44.1,18.3,4.5,18
Mengden, Daniel,2019,0.263,88.9,9.3,32.5,16.9,12.7,18.7
Minor, Mike,2019,0.233,86.4,21.2,37.8,16.2,9,21.2
Heaney, Andrew,2019,0.244,89.6,21.6,54.6,21.6,8.5,19.2
deGrom, Jacob,2019,0.209,85.8,24.2,46.1,17.4,7.6,14.4
Mikolas, Miles,2019,0.279,87.8,14.6,35.8,17.1,11.1,15.9
Peacock, Brad,2019,0.224,89.9,13.7,42.8,20.6,16.4,19.7
Cease, Dylan,2019,0.245,87.9,19.6,39.6,14.8,12.9,13.6
Yamamoto, Jordan,2019,0.23,89.9,14.7,40.6,15.8,17.3,17.3
Rogers, Taylor,2019,0.207,86.6,19.4,43.9,19,12.4,16
Roark, Tanner,2019,0.278,88.7,15.1,36.4,19,11.8,17.3
Teheran, Julio,2019,0.24,88.2,17,32.9,14.7,7.4,16.8
Strasburg, Stephen,2019,0.212,87.3,18.9,48.1,18.2,15.2,15.9
Thornton, Trent,2019,0.26,87.6,14.7,41.4,14.6,14.4,12.9
Biagini, Joe,2019,0.285,88.1,18.5,44.3,14.1,19.7,15.4
Cole, Gerrit,2019,0.184,87.3,28.4,56.9,21.7,11.2,19.5
Lugo, Seth,2019,0.183,87.8,20.7,43.5,19,16.4,18
Margevicius, Nick,2019,0.294,87.1,16.8,38.8,17.6,8.1,12.5
Corbin, Patrick,2019,0.23,88.9,15.8,53.4,18.2,4.3,15.1
Hughes, Jared,2019,0.248,88.5,14.5,33.5,16.3,5.8,12
McCarthy, Kevin,2019,0.281,89.2,11.7,38.7,13.7,3.8,15.7
Anderson, Chase,2019,0.25,86.6,19.2,34.3,17.8,15.9,21.3
Bassitt, Chris,2019,0.235,87,16.9,33.2,16.6,19.5,19.8
Williams, Trevor,2019,0.277,87.2,17.8,32.2,15.5,7,16.8
Barnes, Matt,2019,0.197,89,19.6,60.8,19.9,13,17.2
Hess, David,2019,0.304,91.5,13.1,34.8,18.3,7.4,16.2
Zimmermann, Jordan,2019,0.31,89.3,12.7,35.1,16.7,8.3,14.3
